module,region,country_iso3,classification,provider_source_class,reader_endpoint,basis
Conflict,EAST_AFRICA,BDI,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EAST_AFRICA,COD,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EAST_AFRICA,DJI,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EAST_AFRICA,ERI,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EAST_AFRICA,ETH,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EAST_AFRICA,KEN,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EAST_AFRICA,RWA,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EAST_AFRICA,SOM,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EAST_AFRICA,SSD,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
Conflict,EAST_AFRICA,TZA,PARTIAL,"UCDP Candidate CSV v26.0.8 (CC BY 4.0)","GET /conflict-data/observations","allowlist covers all 54 declared members (ucdp-candidate.reviewed.ts:17); ONE reviewed monthly artifact Aug-2026, no cadence; per-country row counts require an Alpha DB read"
